,Name,Year,Genre,Publisher,Platform,Platform_Company,Device_Type,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
9681,Are You Smarter than a 5th Grader? Game Time,2009,Puzzle,THQ,Wii,Nintendo,Console,250000,0,0,20000,270000
9682,V-Rally Edition 99,1998,Racing,Infogrames,N64,Nintendo,Console,70000,20000,0,0,90000
9683,Minecraft: Story Mode,2015,Adventure,Mojang,PS4,Sony,Console,230000,330000,0,110000,670000
9684,Ni no Kuni: Wrath of the White Witch,2011,RPG,Namco Bandai Games,PS3,Sony,Console,600000,510000,210000,230000,1550000
9685,Gundam Memories: Tatakai no Kioku,2011,Action,Namco Bandai Games,PSP,Sony,HHC,0,0,120000,0,120000
9686,V-Rally 3,2002,Racing,Atari,PS2,Sony,Console,30000,20000,0,10000,60000
9687,Spongebob Squarepants / Fairly Odd Parents Double Pack,2005,Action,THQ,GBA,Nintendo,HHC,110000,40000,0,0,150000
9688,Saint Seiya: Soldiers' Soul,2015,Fighting,Namco Bandai Games,PS3,Sony,Console,0,0,40000,0,40000
9689,Need for Speed: Hot Pursuit 2,2002,Racing,Electronic Arts,GC,Nintendo,Console,680000,90000,0,20000,790000
9690,Tony Hawk's Underground,2003,Sports,Activision,XB,Microsoft,Console,850000,370000,0,50000,1270000
9691,RedCard 20-03,2002,Sports,Midway Games,XB,Microsoft,Console,30000,10000,0,0,40000
9692,The Powerpuff Girls: Chemical X-Traction,2001,Action,BAM! Entertainment,PS,Sony,Console,140000,100000,0,20000,260000
9693,The King of Fighters '96,1997,Fighting,SNK,PS,Sony,Console,0,0,70000,10000,80000
9694,Take A Break's: Puzzle Master,2009,Puzzle,Ubisoft,DS,Nintendo,HHC,0,150000,0,10000,160000
9695,Mercenaries: Playground of Destruction,2005,Action,LucasArts,XB,Microsoft,Console,540000,110000,0,30000,680000
9696,Cartoon Network: Punch Time Explosion XL,2011,Fighting,Crave Entertainment,X360,Microsoft,Console,70000,0,0,0,70000
9697,Dino Crisis 2,2000,Action,Virgin Interactive,PS,Sony,Console,340000,490000,280000,100000,1210000
9698,Monkey Mischief! Party Time,2008,Misc,Activision,Wii,Nintendo,Console,90000,0,0,10000,100000
9699,Disciples III: Renaissance,2010,Strategy,Kalypso Media,PC,PC,PC,0,10000,0,0,10000
9700,Blur,2010,Racing,Activision,PC,PC,PC,10000,40000,0,10000,60000
9701,Gallop Racer 2006,2005,Sports,Tecmo Koei,PS2,Sony,Console,20000,20000,60000,10000,110000
9702,Tenchu San Portable,2009,Action,From Software,PSP,Sony,HHC,0,0,10000,0,10000
9703,SBK X: Superbike World Championship,2010,Racing,Black Bean Games,PS3,Sony,Console,50000,130000,0,40000,220000
9704,Knockout Kings 2000,1999,Fighting,Electronic Arts,N64,Nintendo,Console,630000,270000,0,20000,920000
9705,Fit & Fun,2011,Sports,Unknown,Wii,Nintendo,Console,0,10000,0,0,10000
9706,Racing Gears Advance,2004,Racing,Zoo Digital Publishing,GBA,Nintendo,HHC,40000,20000,0,0,60000
9707,Phantom Brave: We Meet Again,2009,RPG,Nippon Ichi Software,Wii,Nintendo,Console,120000,0,10000,10000,140000
9708,NFL Blitz Pro,2003,Sports,Midway Games,PS2,Sony,Console,110000,90000,0,30000,230000
9709,Hometown Story,2013,RPG,Rising Star Games,3DS,Nintendo,HHC,220000,130000,40000,40000,430000
9710,Robotics;Notes,2012,Adventure,5pb,X360,Microsoft,Console,0,0,20000,0,20000
9711,Bigfoot: Collision Course,2009,Racing,Zoo Digital Publishing,DS,Nintendo,HHC,140000,0,0,10000,150000
9712,Killing Zone,1996,Fighting,Acclaim Entertainment,PS,Sony,Console,30000,20000,0,0,50000
9713,Dakar 2: The World's Ultimate Rally,2003,Racing,Acclaim Entertainment,GC,Nintendo,Console,20000,10000,0,0,30000
9714,Kirby's Pinball Land,1992,Misc,Nintendo,GB,Nintendo,HHC,870000,170000,1100000,50000,2190000
9715,Sniper Elite V2,2012,Shooter,505 Games,PS3,Sony,Console,380000,390000,60000,150000,980000
9716,SingStar Latino,2007,Misc,Sony Computer Entertainment,PS2,Sony,Console,70000,50000,0,20000,140000
9717,Clubhouse Games,2006,Misc,Nintendo,DS,Nintendo,HHC,590000,1830000,730000,350000,3500000
9718,Pimp My Ride: Street Racing,2009,Racing,Activision,DS,Nintendo,HHC,30000,0,0,0,30000
9719,Far Cry 2,2008,Action,Ubisoft,PS3,Sony,Console,430000,700000,10000,270000,1410000
9720,Formula One 2001,2001,Racing,Sony Computer Entertainment,PS2,Sony,Console,130000,100000,0,30000,260000
9721,Frontlines: Fuel of War,2008,Shooter,THQ,PC,PC,PC,0,20000,0,0,20000
9722,Ultraman Star Chronicles,2013,Strategy,Namco Bandai Games,PSP,Sony,HHC,0,0,20000,0,20000
9723,Kuroko's Basketball: Ties to Future,2015,Action,Namco Bandai Games,3DS,Nintendo,HHC,0,0,80000,0,80000
9724,SpongeBob SquarePants: Creature from the Krusty Krab,2006,Platform,THQ,GC,Nintendo,Console,250000,70000,0,10000,330000
9725,Monopoly Streets,2010,Misc,Electronic Arts,Wii,Nintendo,Console,240000,440000,0,80000,760000
9726,Ener-G: Gym Rockets,2008,Sports,Ubisoft,DS,Nintendo,HHC,360000,0,0,30000,390000
9727,Mario Tennis,2000,Sports,Nintendo,3DS,Nintendo,HHC,0,0,20000,0,20000
9728,Scene It? Twilight,2010,Misc,Konami Digital Entertainment,DS,Nintendo,HHC,110000,70000,0,20000,200000
9729,Dead to Rights II,2005,Shooter,Electronic Arts,XB,Microsoft,Console,80000,20000,0,0,100000
9730,Mario & Sonic at the London 2012 Olympic Games,2011,Sports,Sega,Wii,Nintendo,Console,1140000,1910000,270000,460000,3780000
9731,Hollywood Squares,2010,Misc,Ubisoft,Wii,Nintendo,Console,110000,0,0,10000,120000
9732,Digimon World DS,2006,RPG,Namco Bandai Games,DS,Nintendo,HHC,100000,0,0,10000,110000
9733,Cars,2006,Racing,THQ,XB,Microsoft,Console,150000,40000,0,10000,200000
9734,Slam 'n Jam '96 featuring Magic & Kareem,1995,Sports,Crystal Dynamics,PS,Sony,Console,40000,30000,0,10000,80000
9735,3DS Classic Collection,2016,Misc,Sega,3DS,Nintendo,HHC,20000,0,0,0,20000
9736,Wreckless: ThE YaKuza MisSiOns,2002,Racing,Activision,GC,Nintendo,Console,40000,10000,0,0,50000
9737,Yu-Gi-Oh! 5D's: Duel Transer,2010,Strategy,Konami Digital Entertainment,Wii,Nintendo,Console,110000,20000,20000,10000,160000
9738,B-Boy,2006,Misc,Sony Computer Entertainment,PSP,Sony,HHC,40000,0,0,0,40000
9739,Hakuouki DS,2010,Adventure,Idea Factory,DS,Nintendo,HHC,0,0,70000,0,70000
9740,Soul Edge,1996,Fighting,Sony Computer Entertainment,PS,Sony,Console,610000,410000,460000,100000,1580000
9741,Section 8,2009,Shooter,SouthPeak Games,X360,Microsoft,Console,150000,90000,0,30000,270000
9742,Marvel: Ultimate Alliance,2006,RPG,Activision,X360,Microsoft,Console,2290000,20000,0,190000,2500000
9743,Hot Shots Golf: World Invitational,2012,Sports,Sony Computer Entertainment,PS3,Sony,Console,0,0,280000,0,280000
9744,Dance Dance Revolution SuperNOVA 2,2007,Simulation,Konami Digital Entertainment,PS2,Sony,Console,640000,30000,20000,100000,790000
9745,Mario Tennis,2010,Sports,Nintendo,Wii,Nintendo,Console,0,60000,0,10000,70000
9746,Tony Hawk's Pro Skater 5,2015,Sports,Activision,PS4,Sony,Console,90000,80000,0,30000,200000
9747,Ben 10 Alien Force: Vilgax Attacks,2009,Action,D3Publisher,PSP,Sony,HHC,130000,190000,0,110000,430000
9748,Shrek's Carnival Craze Party Games,2008,Misc,Activision,PS2,Sony,Console,30000,30000,0,10000,70000
9749,Destiny,2014,Shooter,Activision,PS4,Sony,Console,2490000,2049999,160000,960000,5659999
9750,Mega Man 64,2000,Action,Capcom,N64,Nintendo,Console,140000,30000,50000,0,220000
9751,Summon Night,2008,RPG,Banpresto,DS,Nintendo,HHC,0,0,70000,0,70000
9752,LEGO Indiana Jones: The Original Adventures,2008,Action,LucasArts,PSP,Sony,HHC,400000,490000,0,290000,1180000
9753,Barbie and Her Sisters Puppy Rescue,2015,Action,Namco Bandai Games,Wii,Nintendo,Console,0,60000,0,0,60000
9754,Etrian Odyssey IV: Legends of the Titans,2012,RPG,Atlus,3DS,Nintendo,HHC,120000,50000,200000,10000,380000
9755,Shin Megami Tensei IV,2013,RPG,Atlus,3DS,Nintendo,HHC,280000,0,270000,20000,570000
9756,Prince of Persia,2008,Action,Ubisoft,PS3,Sony,Console,470000,410000,30000,180000,1090000
9757,Jewel Quest 5: The Sleepless Star,2011,Action,Astragon,PC,PC,PC,10000,20000,0,10000,40000
9758,Worms: Open Warfare,2006,Strategy,THQ,PSP,Sony,HHC,110000,430000,0,240000,780000
9759,Avatar: The Game,2009,Action,Ubisoft,PC,PC,PC,0,40000,0,10000,50000
9760,Fist of the North Star: Ken's Rage 2,2012,Fighting,Tecmo Koei,PS3,Sony,Console,0,0,300000,0,300000
9761,Jimmie Johnson's Anything With an Engine,2011,Racing,Konami Digital Entertainment,PS3,Sony,Console,70000,0,0,10000,80000
9762,Ashes Cricket 2009,2009,Sports,Codemasters,X360,Microsoft,Console,0,190000,0,10000,200000
9763,Fairy Fencer F,2013,RPG,Nippon Ichi Software,PS3,Sony,Console,50000,50000,90000,20000,210000
9764,WWE 2K15,2014,Sports,Take-Two Interactive,X360,Microsoft,Console,380000,260000,0,60000,700000
9765,Shinseiki Evangelion: Koutetsu no Girlfriend,1998,Adventure,Gainax Network Systems,PS,Sony,Console,0,0,110000,10000,120000
9766,Zone of the Enders HD Collection,2012,Simulation,Konami Digital Entertainment,PS3,Sony,Console,210000,80000,90000,50000,430000
9767,World Series of Poker,2005,Misc,Activision,PSP,Sony,HHC,190000,0,0,20000,210000
9768,Monster House,2006,Adventure,THQ,GC,Nintendo,Console,110000,30000,0,0,140000
9770,Shrek Super Party,2002,Misc,TDK Mediactive,XB,Microsoft,Console,100000,30000,0,0,130000
9771,Dance Dance Revolution (North America),2001,Simulation,Konami Digital Entertainment,PS,Sony,Console,80000,60000,0,10000,150000
9772,3D Tank Warfare Simulator Panzer Front,1999,Simulation,Avalon Interactive,PS,Sony,Console,60000,40000,0,10000,110000
9773,Call of Duty: Black Ops,2010,Shooter,Activision,PS3,Sony,Console,5980000,4440000,480000,1830000,12730000
9774,Retro Game Challenge,2007,Action,Namco Bandai Games,DS,Nintendo,HHC,0,0,110000,0,110000
9775,Maji de Manabu: LEC de Ukaru - DS Hishou Boki 3-Kyuu,2008,Misc,Square Enix,DS,Nintendo,HHC,0,0,20000,0,20000
9776,RedCard 20-03,2002,Sports,Midway Games,GC,Nintendo,Console,20000,0,0,0,20000
9777,Madden NFL 16,2015,Sports,Electronic Arts,PS4,Sony,Console,2330000,300000,0,590000,3220000
9778,Tom Clancy's Ghost Recon Advanced Warfighter,2006,Shooter,Ubisoft,X360,Microsoft,Console,1400000,20000,20000,100000,1540000
9779,Persona 5,2016,RPG,Atlus,PS4,Sony,Console,0,0,340000,0,340000
9780,Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts,GC,Nintendo,Console,330000,90000,0,10000,430000
9781,Dead Space 2,2011,Shooter,Electronic Arts,PS3,Sony,Console,730000,500000,0,210000,1440000
9782,SpongeBob SquarePants: Revenge of the Flying Dutchman,2002,Platform,THQ,GC,Nintendo,Console,150000,40000,0,10000,200000
9783,Yoshi Touch & Go (JP sales),2005,Platform,Nintendo,DS,Nintendo,HHC,0,0,220000,0,220000
9784,Watchmen: The End is Nigh - The Complete Experience,2009,Action,Warner Bros. Interactive Entertainment,PS3,Sony,Console,80000,70000,0,20000,170000
9785,Bio FREAKS,1998,Action,GT Interactive,N64,Nintendo,Console,110000,30000,0,0,140000
9786,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,2013,Strategy,Namco Bandai Games,PS3,Sony,Console,0,0,70000,0,70000
9787,Strawberry Shortcake: Strawberryland Games,2006,Action,Game Factory,DS,Nintendo,HHC,50000,0,0,0,50000
9788,Soldier of Fortune: Gold Edition,2001,Shooter,Codemasters,PS2,Sony,Console,270000,210000,0,70000,550000
9789,Black Dawn,1996,Simulation,Virgin Interactive,PS,Sony,Console,70000,50000,0,10000,130000
9790,Fantasy Aquarium by DS,2008,Simulation,Mercury Games,DS,Nintendo,HHC,70000,0,0,10000,80000
9791,NCAA Final Four 2004,2003,Sports,Sony Computer Entertainment,PS2,Sony,Console,100000,80000,0,30000,210000
9792,Theme Park,1994,Simulation,Electronic Arts,PS,Sony,Console,240000,160000,130000,40000,570000
9793,Super Soccer,1991,Sports,Nintendo,SNES,Nintendo,Console,0,0,380000,0,380000
9794,ShellShock 2: Blood Trails,2009,Shooter,Eidos Interactive,PS3,Sony,Console,40000,30000,0,10000,80000
9795,Magical Vacation,2001,RPG,Nintendo,GBA,Nintendo,HHC,0,0,260000,10000,270000
9796,Sengoku Basara: Chronicle Heroes,2011,Action,Capcom,PSP,Sony,HHC,0,0,160000,0,160000
9797,Galerians: Ash,2002,Adventure,Sammy Corporation,PS2,Sony,Console,30000,30000,0,10000,70000
9798,Namco Classic Fighter Collection,2008,Fighting,Namco Bandai Games,PS2,Sony,Console,80000,60000,0,20000,160000
9799,Way of the Samurai 3,2009,Action,Gamebridge,X360,Microsoft,Console,120000,50000,20000,20000,210000
9800,Diva Girls: Divas on Ice,2009,Sports,505 Games,DS,Nintendo,HHC,50000,0,0,0,50000
9801,Ratchet & Clank Collection,2014,Action,Sony Computer Entertainment,PSV,Sony,HHC,0,50000,0,10000,60000
9802,God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,2016,Misc,Namco Bandai Games,PS4,Sony,Console,0,0,10000,0,10000
9803,FIFA Soccer 2004,2003,Sports,Electronic Arts,XB,Microsoft,Console,240000,490000,0,50000,780000
9804,Champion Jockey: G1 Jockey & Gallop Racer,2011,Sports,Tecmo Koei,X360,Microsoft,Console,0,50000,0,10000,60000
9805,CrossworDS,2008,Puzzle,Deep Silver,DS,Nintendo,HHC,510000,0,0,40000,550000
9806,Army Men: Sarge's War,2004,Shooter,Global Star,XB,Microsoft,Console,90000,20000,0,0,110000
9807,LEGO Batman: The Videogame,2008,Adventure,Warner Bros. Interactive Entertainment,PSP,Sony,HHC,570000,460000,0,280000,1310000
9808,FunkMaster Flex's Digital Hitz Factory,2003,Misc,Jester Interactive,PS2,Sony,Console,20000,10000,0,0,30000
9809,B-17: Fortress in the Sky,2007,Simulation,DSI Games,DS,Nintendo,HHC,20000,0,0,0,20000
9810,Sansuu Puzzle de Migaku: Gakken Otona no Shikou Sense,2007,Misc,Gakken,DS,Nintendo,HHC,0,0,20000,0,20000
9811,Wipeout: The Game,2009,Misc,Mindscape,Wii,Nintendo,Console,1970000,0,0,120000,2090000
9812,Monster Hunter Tri,2009,RPG,Nintendo,Wii,Nintendo,Console,670000,410000,1050000,110000,2240000
9813,Fight Night Round 2004,2004,Fighting,Electronic Arts,XB,Microsoft,Console,460000,180000,0,30000,670000
9814,Ribbit King,2003,Sports,Atari,GC,Nintendo,Console,40000,10000,0,0,50000
9815,Cars,2006,Racing,THQ,GBA,Nintendo,HHC,810000,300000,0,20000,1130000
9816,Monster Jam: Urban Assault,2008,Racing,Activision,PSP,Sony,HHC,80000,0,0,10000,90000
9817,Neopets Puzzle Adventure,2008,Puzzle,Capcom,DS,Nintendo,HHC,260000,0,0,20000,280000
9818,Tamagotchi Connection: Corner Shop 3,2007,Simulation,Atari,DS,Nintendo,HHC,70000,0,310000,10000,390000
9819,Prey,2006,Shooter,Take-Two Interactive,PC,PC,PC,0,30000,0,10000,40000
9820,Vacation Sports,2009,Sports,Ubisoft,Wii,Nintendo,Console,100000,10000,0,10000,120000
9821,Capcom Classics Collection,2005,Misc,Capcom,PS2,Sony,Console,220000,170000,50000,60000,500000
9822,Romeo Vs. Juliet,2013,Adventure,Quinrose,PSP,Sony,HHC,0,0,10000,0,10000
9823,Turbo: Super Stunt Squad,2013,Sports,D3Publisher,PS3,Sony,Console,0,20000,0,0,20000
9824,Scooby-Doo! Mystery Mayhem,2004,Action,THQ,XB,Microsoft,Console,110000,30000,0,10000,150000
9825,Empire Deluxe,1992,Strategy,New World Computing,PC,PC,PC,10000,0,0,0,10000
9826,Sonic Classic Collection,2010,Platform,Sega,DS,Nintendo,HHC,990000,800000,0,180000,1970000
9827,Rapala Tournament Fishing!,2006,Sports,Activision,X360,Microsoft,Console,30000,0,0,0,30000
9828,Revolution: 25th Anniversary Collection,2016,Adventure,Koch Media,PC,PC,PC,0,20000,0,0,20000
9829,Onigokko! Portable,2013,Adventure,Alchemist,PSP,Sony,HHC,0,0,10000,0,10000
9830,Utawarerumono: Itsuwari no Kamen,2015,Adventure,Aqua Plus,PS3,Sony,Console,0,0,50000,0,50000
9831,Wario World,2003,Platform,Nintendo,GC,Nintendo,Console,340000,90000,0,10000,440000
9832,The Scorpion King: Rise of the Akkadian,2002,Action,Universal Interactive,PS2,Sony,Console,110000,90000,0,30000,230000
9833,Zumba Fitness Core,2012,Misc,505 Games,Wii,Nintendo,Console,0,70000,0,10000,80000
9834,ZhuZhu Pets,2010,Simulation,Activision,DS,Nintendo,HHC,680000,270000,0,90000,1040000
9835,Puyo Puyo Tetris,2014,Puzzle,Sega,WiiU,Nintendo,Console,0,0,20000,0,20000
9836,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,2004,Action,THQ,GC,Nintendo,Console,220000,60000,0,10000,290000
9837,The King of Fighters Collection: The Orochi Saga,2008,Fighting,Ignition Entertainment,PSP,Sony,HHC,70000,0,0,0,70000
9838,Chicken Shoot 2,2005,Adventure,Zoo Digital Publishing,GBA,Nintendo,HHC,20000,10000,0,0,30000
9839,Animal Paradise,2007,Simulation,Empire Interactive,DS,Nintendo,HHC,90000,140000,0,20000,250000
9840,Ace Attorney Investigations 2,2011,Adventure,Capcom,DS,Nintendo,HHC,0,0,260000,0,260000
9841,WWE SmackDown vs Raw 2008,2007,Fighting,THQ,PS3,Sony,Console,620000,500000,10000,210000,1340000
9842,Fighting Vipers,1995,Fighting,Sega,SAT,SEGA,Console,0,0,400000,0,400000
9843,Minecraft,2013,Misc,Microsoft Game Studios,X360,Microsoft,Console,5580000,2830000,20000,770000,9200000
9844,Virtua Racing,1994,Racing,Sega,GEN,SEGA,Console,0,0,260000,0,260000
9845,To LoveRu Trouble: Doki Doki! Rinkaigakkou-Hen,2008,Adventure,Marvelous Interactive,PSP,Sony,HHC,0,0,30000,0,30000
9846,Zelda II: The Adventure of Link,1987,Adventure,Nintendo,NES,Nintendo,Console,2190000,500000,1610000,80000,4380000
9847,Winning Post 7 2012,2012,Sports,Ackkstudios,PS3,Sony,Console,0,0,70000,0,70000
9848,Harry Potter and the Prisoner of Azkaban,2004,Action,Electronic Arts,GBA,Nintendo,HHC,370000,140000,0,10000,520000
9849,Magna Carta 2,2009,RPG,Banpresto,X360,Microsoft,Console,130000,80000,70000,20000,300000
9850,Rampo,1995,Adventure,Sega,SAT,SEGA,Console,0,0,30000,0,30000
9851,Hyperdimension Neptunia U: Action Unleashed,2014,Action,Idea Factory International,PSV,Sony,HHC,70000,20000,60000,30000,180000
9852,Macross Digital Mission VF-X,1997,Simulation,Namco Bandai Games,PS,Sony,Console,0,0,280000,20000,300000
9853,Transformers: Devastation,2015,Action,Activision,PS4,Sony,Console,100000,80000,0,40000,220000
9854,PaRappa The Rapper,1996,Misc,Sony Computer Entertainment,PS,Sony,Console,260000,160000,1460000,30000,1910000
9855,World Neverland 2in1 Portable: Olerud Kingdom & Republic of Pluto,2008,Simulation,fonfun,PSP,Sony,HHC,0,0,20000,0,20000
9856,"Monsters, Inc.",2002,Adventure,Sony Computer Entertainment,PS2,Sony,Console,150000,120000,0,40000,310000
9857,Mah Jong Quest: Expeditions,2007,Puzzle,Avanquest,DS,Nintendo,HHC,20000,260000,0,10000,290000
9858,Star Trek Online,2010,RPG,Atari,PC,PC,PC,0,20000,0,0,20000
9859,Guitar Freaks & DrumMania: Masterpiece Gold,2007,Simulation,Konami Digital Entertainment,PS2,Sony,Console,0,0,20000,0,20000
9860,Spectral Souls: Resurrection of the Ethereal Empires,2005,RPG,Idea Factory,PSP,Sony,HHC,30000,0,0,0,30000
9861,Gradius Galaxies,2001,Shooter,Konami Digital Entertainment,GBA,Nintendo,HHC,60000,20000,0,0,80000
9862,Sly 3: Honor Among Thieves,2005,Platform,Sony Computer Entertainment,PS2,Sony,Console,690000,30000,0,110000,830000
9863,Fossil Fighters (JP sales),2008,RPG,Nintendo,DS,Nintendo,HHC,0,0,300000,0,300000
9864,Zombie Army Trilogy,2015,Shooter,Rebellion Developments,PS4,Sony,Console,40000,120000,0,30000,190000
9865,Blokus Portable: Steambot Championship,2006,Puzzle,Majesco Entertainment,PSP,Sony,HHC,30000,0,0,0,30000
9866,Harry Potter and the Half-Blood Prince,2009,Action,Electronic Arts,PS3,Sony,Console,150000,130000,0,60000,340000
9867,Royal Palace of White Sword and The City of Gentiles,2009,RPG,Take-Two Interactive,PC,PC,PC,0,20000,0,10000,30000
9868,American Chopper 2: Full Throttle,2005,Racing,Activision,GC,Nintendo,Console,40000,10000,0,0,50000
9869,Ragnarok DS,2008,RPG,GungHo,DS,Nintendo,HHC,100000,0,110000,10000,220000
9870,Final Fantasy X / X-2 HD Remaster,2013,RPG,Square Enix,PS3,Sony,Console,430000,400000,320000,180000,1330000
9871,SimAnimals,2009,Simulation,Electronic Arts,Wii,Nintendo,Console,150000,140000,0,30000,320000
9872,Alvin and the Chipmunks: Chipwrecked,2011,Misc,505 Games,DS,Nintendo,HHC,70000,30000,0,10000,110000
9873,Wallace & Gromit in Project Zoo,2003,Platform,BAM! Entertainment,PS2,Sony,Console,110000,90000,0,30000,230000
9874,Minute to Win It,2010,Misc,Zoo Games,DS,Nintendo,HHC,110000,0,0,10000,120000
9875,Toy Soldiers: War Chest,2015,Action,Ubisoft,PS4,Sony,Console,60000,0,0,10000,70000
9876,Dragon Ball Z: Tenkaichi Tag Team,2010,Fighting,Namco Bandai Games,PSP,Sony,HHC,110000,40000,90000,30000,270000
9877,E.T. The Extra-Terrestrial,2001,Action,NewKidCo,GBA,Nintendo,HHC,10000,0,0,0,10000
9878,Tetris 2 (All region sales),1992,Puzzle,Nintendo,GB,Nintendo,HHC,560000,220000,430000,30000,1240000
9879,NBA Live 08,2007,Sports,Electronic Arts,PS3,Sony,Console,560000,20000,10000,50000,640000
9880,Ultimate Card Games DS,2008,Strategy,Telegames,DS,Nintendo,HHC,80000,0,0,10000,90000
9881,Robotech: Battlecry,2002,Shooter,TDK Mediactive,XB,Microsoft,Console,160000,50000,0,10000,220000
9882,Tony Hawk's Pro Skater,2000,Sports,Activision,GB,Nintendo,HHC,900000,380000,10000,50000,1340000
9883,Tak and the Power of Juju,2003,Platform,THQ,GBA,Nintendo,HHC,390000,150000,0,10000,550000
9884,NFL GameDay 2000,1999,Sports,989 Studios,PS,Sony,Console,1000000,680000,0,120000,1800000
9885,The X Files: Resist or Serve,2004,Adventure,Vivendi Games,PS2,Sony,Console,60000,50000,0,20000,130000
9886,Pachinko Kaou: Misora Hibari,2007,Misc,Hackberry,PS2,Sony,Console,0,0,20000,0,20000
9887,Minna no Golf Jou Vol.1,2007,Sports,Sony Computer Entertainment,PSP,Sony,HHC,0,0,30000,0,30000
9888,The Perfect Golf,1995,Sports,Seta Corporation,PS,Sony,Console,0,0,30000,0,30000
9889,WWF Attitude,1999,Fighting,Acclaim Entertainment,N64,Nintendo,Console,570000,130000,0,10000,710000
9890,MLB SlugFest 2006,2006,Sports,Midway Games,XB,Microsoft,Console,40000,10000,0,0,50000
9891,Peppa Pig: Fun and Games,2010,Misc,Ubisoft,DS,Nintendo,HHC,0,580000,0,90000,670000
9892,Transformer: Rise of the Dark Spark,2014,Action,Activision,PS3,Sony,Console,40000,50000,10000,20000,120000
9893,Densha De Go! 2,1999,Simulation,Taito,PS,Sony,Console,0,0,380000,30000,410000
9894,Sonic the Hedgehog,2006,Platform,Sega,X360,Microsoft,Console,440000,490000,0,110000,1040000
9895,Cars: Mater-National Championship,2007,Racing,THQ,PS3,Sony,Console,370000,10000,0,30000,410000
9896,Card Games,2000,Misc,D3Publisher,PS,Sony,Console,40000,30000,0,0,70000
9897,J-League Excite Stage '95,1995,Sports,Epoch,SNES,Nintendo,Console,0,0,450000,0,450000
9898,High School Musical: Sing It!,2007,Misc,Disney Interactive Studios,PS2,Sony,Console,470000,80000,0,1330000,1880000
9899,"Sakura Wars: So Long, My Love",2005,RPG,Sega,PS2,Sony,Console,70000,50000,150000,20000,290000
9900,Shining Hearts,2010,RPG,Sega,PSP,Sony,HHC,0,0,200000,0,200000
9901,Marker Man Adventures,2009,Platform,Majesco Entertainment,DS,Nintendo,HHC,20000,0,0,0,20000
9902,Tom Clancy's Rainbow Six: Lockdown,2005,Shooter,Ubisoft,PS2,Sony,Console,170000,130000,0,40000,340000
9903,Gundam Seed: Battle Assault,2004,Fighting,Namco Bandai Games,GBA,Nintendo,HHC,60000,20000,0,0,80000
9904,Tiger Woods PGA Tour,2005,Sports,Electronic Arts,PSP,Sony,HHC,190000,0,0,20000,210000
9905,Tom Clancy's Rainbow Six: Lockdown,2005,Shooter,Ubisoft,GC,Nintendo,Console,40000,10000,0,0,50000
9906,M&Ms Shell Shocked,2001,Action,Berkeley,PS,Sony,Console,20000,10000,0,0,30000
9907,Blazing Dragons,1996,Adventure,Crystal Dynamics,PS,Sony,Console,80000,60000,0,10000,150000
9908,The King of Fighters: Evolution,2000,Fighting,SNK,DC,SEGA,Console,0,0,70000,0,70000
9909,Shox,2002,Racing,Electronic Arts,PS2,Sony,Console,50000,40000,0,10000,100000
9910,Castlevania: Lords of Shadow 2,2014,Action,Konami Digital Entertainment,X360,Microsoft,Console,20000,70000,0,10000,100000
9911,Star Wars: The Force Unleashed II,2010,Action,LucasArts,DS,Nintendo,HHC,180000,40000,0,20000,240000
9912,Alpha Protocol,2010,RPG,Sega,PS3,Sony,Console,190000,180000,0,70000,440000
9913,X-Men Legends,2004,RPG,Activision,GC,Nintendo,Console,410000,110000,0,10000,530000
9914,Famicom Mini: TwinBee,2004,Shooter,Konami Digital Entertainment,GBA,Nintendo,HHC,0,0,120000,0,120000
9915,F1 2015,2015,Racing,Codemasters,PC,PC,PC,0,40000,0,0,40000
9916,BeatMania IIDX 3rd Style,2000,Simulation,Konami Digital Entertainment,PS2,Sony,Console,0,0,50000,0,50000
9917,Spider-Man: Shattered Dimensions,2010,Action,Activision,PS3,Sony,Console,260000,130000,0,60000,450000
9918,Tales of Symphonia,2013,RPG,Namco Bandai Games,PS3,Sony,Console,210000,130000,130000,60000,530000
9919,Worms 3D,2003,Strategy,Sega,GC,Nintendo,Console,50000,10000,0,0,60000
9920,Sega Superstars,2004,Misc,Sega,PS2,Sony,Console,80000,60000,0,20000,160000
9921,NBA 2K13,2012,Sports,Take-Two Interactive,X360,Microsoft,Console,2600000,210000,10000,190000,3010000
9922,Littlest Pet Shop: Winter,2008,Simulation,Electronic Arts,DS,Nintendo,HHC,590000,310000,0,100000,1000000
9923,NHL 2K9,2008,Sports,Take-Two Interactive,X360,Microsoft,Console,150000,10000,0,10000,170000
9924,Dark Souls II,2014,RPG,Namco Bandai Games,PC,PC,PC,80000,80000,0,20000,180000
9925,Custom Drive,2012,Action,D3Publisher,PSP,Sony,HHC,0,0,20000,0,20000
9926,The Sims 2,2005,Simulation,Electronic Arts,GC,Nintendo,Console,260000,70000,0,10000,340000
9927,Steel Diver,2011,Action,Nintendo,3DS,Nintendo,HHC,310000,100000,50000,30000,490000
