,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
9925,Custom Drive,PSP,2012,Action,D3Publisher,0,0,20000,0,20000
9926,The Sims 2,GC,2005,Simulation,Electronic Arts,260000,70000,0,10000,340000
9927,Steel Diver,3DS,2011,Action,Nintendo,310000,100000,50000,30000,490000
9928,Spider-Man: Web of Shadows,DS,2008,Action,Activision,90000,0,0,10000,100000
9929,ModNation Racers,PSP,2010,Racing,Sony Computer Entertainment,110000,270000,20000,140000,540000
9930,Mario Bros.,NES,1983,Platform,Nintendo,510000,120000,1630000,20000,2280000
9931,I'm A Celebrity: Get Me Out of Here!,DS,2009,Misc,Mindscape,0,40000,0,0,40000
9932,Hanayori Danshi: Koi Seyo Onago,DS,2008,Adventure,Konami Digital Entertainment,0,0,40000,0,40000
9933,Advance Wars: Days of Ruin,DS,2008,Strategy,Nintendo,440000,130000,0,60000,630000
9934,Epic Mickey 2: The Power of Two,PS3,2012,Action,Disney Interactive Studios,210000,200000,0,80000,490000
9935,Secrets of the Titanic,DS,2012,Action,Avanquest Software,0,20000,0,0,20000
9936,Midway Arcade Treasures,GC,2003,Misc,Midway Games,130000,30000,0,0,160000
9937,World Stadium 2,PS,1998,Sports,Namco Bandai Games,0,0,420000,30000,450000
9938,Double Pack: Finding Nemo / The Incredibles,XB,2006,Action,THQ,310000,90000,0,10000,410000
9939,The Lord of the Rings: The Battle for Middle-Earth II,X360,2006,Strategy,Electronic Arts,0,50000,0,10000,60000
9940,Dark Cloud 2,PS2,2002,Role-Playing,Sony Computer Entertainment,380000,250000,260000,70000,960000
9941,Sword of the Samurai,PS2,1989,Action,MicroProse,0,0,170000,0,170000
9942,Wonder Project J2: Koruro no Mori no Josette,N64,1996,Simulation,Enix Corporation,0,0,120000,40000,160000
9943,Ener-G: Dance Squad,DS,2008,Sports,Ubisoft,150000,0,0,10000,160000
9944,World Soccer Winning Eleven 8 International,XB,2004,Sports,Konami Digital Entertainment,70000,20000,0,0,90000
9945,Space Hulk: Vengeance of the Blood Angels,PS,1995,Shooter,Electronic Arts,40000,30000,0,0,70000
9946,Endgame,PS2,2002,Shooter,Empire Interactive,40000,30000,0,10000,80000
9947,Turn It Around,DS,2006,Action,505 Games,30000,0,0,0,30000
9948,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1940000,1950000,80000,700000,4670000
9949,Growlanser: Heritage of War,PS2,2006,Role-Playing,Rising Star Games,110000,80000,0,30000,220000
9950,Sidewinder Max,PS2,2000,Simulation,Asmik Ace Entertainment,0,0,90000,0,90000
9951,Rayman 2: Revolution,PS2,2000,Platform,Ubisoft,150000,110000,0,40000,300000
9952,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,1440000,1010000,570000,300000,3320000
9953,Sim Theme Park,PC,1998,Strategy,Electronic Arts,2040000,40000,0,0,2080000
9954,Medal of Honor European Assault,GC,2005,Shooter,Electronic Arts,190000,50000,0,10000,250000
9955,Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017,Role-Playing,Sega,0,0,30000,0,30000
9956,Minute to Win It,X360,2011,Misc,Zoo Games,300000,0,0,20000,320000
9957,Evil Zone,PS,1998,Fighting,Titus,140000,100000,0,20000,260000
9958,Lumines: Puzzle Fusion,PSP,2004,Puzzle,Ubisoft,520000,350000,0,230000,1100000
9959,BloodRayne 2,XB,2004,Shooter,THQ,110000,30000,0,10000,150000
9960,Family Feud Decades,Wii,2010,Misc,Ubisoft,160000,0,0,10000,170000
9961,UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,0,210000,30000,30000,270000
9962,James Pond: Codename Robocod,GBA,2005,Platform,Play It,20000,10000,0,0,30000
9963,Pro Angler Moves,PS3,2012,Sports,"Interworks Unlimited, Inc.",10000,0,0,0,10000
9964,Way of the Samurai 2,PS2,2003,Action,Capcom,50000,40000,230000,10000,330000
9965,TouchMaster,DS,2007,Puzzle,Midway Games,490000,1270000,0,250000,2010000
9966,Obscure,XB,2004,Adventure,MC2 Entertainment,30000,10000,0,0,40000
9967,Tropico 4,X360,2011,Simulation,Kalypso Media,200000,130000,0,30000,360000
9968,Skylanders: Spyro's Adventure,X360,2011,Action,Activision,530000,350000,0,100000,980000
9969,Defender,2600,1980,Misc,Atari,990000,50000,0,10000,1050000
9970,The Bible Game,XB,2005,Misc,Crave Entertainment,30000,10000,0,0,40000
9971,Mass Effect,PC,2008,Role-Playing,Electronic Arts,0,590000,0,90000,680000
9972,Saw II: Flesh & Blood,X360,2010,Action,Konami Digital Entertainment,100000,40000,0,10000,150000
9973,Mario Bros.,2600,1982,Platform,Atari,1480000,90000,0,20000,1590000
9974,Barnstorming,2600,1981,Action,Activision,400000,20000,0,0,420000
9975,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1650000,610000,1760000,90000,4110000
9976,Guinness World Records: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,460000,470000,0,110000,1040000
9977,Greg Hastings' Tournament Paintball Max'd,PS2,2006,Shooter,Activision,10000,0,0,0,10000
9978,Hakuoki Zuisouroku Omokage Hana,PSV,2015,Action,Idea Factory,0,0,30000,0,30000
9979,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3700000,1970000,90000,570000,6330000
9980,Haunted Casino,SAT,1996,Adventure,Societa,0,0,40000,0,40000
9981,Generator Rex: Agent of Providence,Wii,2011,Action,Activision,70000,10000,0,10000,90000
9982,SOCOM 3: U.S. Navy SEALs,PS2,2005,Shooter,Sony Computer Entertainment,1220000,340000,40000,100000,1700000
9983,Transformer: Rise of the Dark Spark (3DS),3DS,2014,Role-Playing,Activision,50000,10000,0,10000,70000
9984,Guilty Gear X2,PS2,2002,Fighting,Sammy Corporation,90000,70000,160000,20000,340000
9985,Attack on Titan (KOEI),PS4,2016,Action,Tecmo Koei,20000,60000,110000,20000,210000
9986,Dragon Valor,PS,1999,Role-Playing,Sony Computer Entertainment,40000,30000,0,0,70000
9987,Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games,0,90000,40000,20000,150000
9988,Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,2014,Action,Namco Bandai Games,0,0,310000,0,310000
9989,Gokuhou!! Mecha Mote Iinchou: MM Town de Miracle Change!,DS,2009,Simulation,Konami Digital Entertainment,0,0,100000,0,100000
9990,Cabela's Alaskan Adventure,X360,2006,Sports,Activision,120000,0,0,10000,130000
9991,Lunar: Silver Star Story Complete,PS,1998,Role-Playing,Kadokawa Shoten,270000,180000,60000,40000,550000
9992,Star Wars Jedi Knight II: Jedi Outcast,XB,2002,Shooter,LucasArts,230000,70000,0,10000,310000
9993,Power Pro Kun Pocket 5,GBA,2003,Sports,Konami Digital Entertainment,0,0,250000,10000,260000
9994,Nickelodeon Team Umizoomi,DS,2011,Action,Take-Two Interactive,450000,0,0,30000,480000
9995,Dai-2-Ji Super Robot Taisen OG,PS3,2012,Strategy,Namco Bandai Games,0,0,300000,0,300000
9996,Nora to Koku no Koubou: Kiri no Mori no Majo,DS,2011,Role-Playing,Atlus,0,0,50000,0,50000
9997,Midnight Club 3: DUB Edition,XB,2005,Racing,Take-Two Interactive,610000,100000,0,30000,740000
9998,Need for Speed Carbon,PC,2006,Racing,Electronic Arts,0,40000,0,10000,50000
9999,Heroes of Ruin,3DS,2012,Role-Playing,Nintendo,130000,70000,0,20000,220000
10000,Resident Evil 4,GC,2005,Action,Capcom,980000,420000,220000,60000,1680000
10001,Heart of Darkness,PS,1998,Platform,Ocean,180000,120000,0,20000,320000
10002,Iron Man 2,PSP,2010,Action,Sega,180000,120000,0,70000,370000
10003,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2069999,2290000,240000,820000,5419999
10004,Spider-Man: Edge of Time,PS3,2011,Action,Activision,130000,70000,0,30000,230000
10005,GT Legends,PC,2005,Racing,Atari,0,20000,0,0,20000
10006,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4410000,1040000,1390000,220000,7060000
10007,New Carnival Games,Wii,2010,Misc,Take-Two Interactive,350000,210000,0,50000,610000
10008,Viewtiful Joe: Red Hot Rumble,GC,2005,Action,Capcom,40000,10000,0,0,50000
10009,7 Wonders: Treasures of Seven,DS,2011,Puzzle,Avanquest,20000,30000,0,10000,60000
10010,Katekyoo Hitman Reborn! Kizuna no Tag Battle,PSP,2010,Fighting,Marvelous Interactive,0,0,30000,0,30000
10011,Star Wars: The Force Unleashed II,Wii,2010,Action,LucasArts,540000,190000,0,60000,790000
10012,Star Wars: Knights of the Old Republic,XB,2003,Role-Playing,Activision,1680000,440000,0,80000,2200000
10013,RoadKill,PS2,2003,Action,Midway Games,80000,70000,0,20000,170000
10014,Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1830000,800000,30000,270000,2930000
10015,LEGO Soccer Mania,PS2,2002,Sports,Electronic Arts,40000,30000,0,10000,80000
10016,The Sims 2: Seasons,PC,2007,Simulation,Electronic Arts,10000,40000,0,10000,60000
10017,DuckTales: Remastered,PS3,2013,Action,Capcom,10000,40000,0,10000,60000
10018,FaceBreaker,PS3,2008,Fighting,Electronic Arts,130000,30000,0,20000,180000
10019,Scripps Spelling Bee,DS,2010,Simulation,THQ,150000,0,0,10000,160000
10020,Warriors Orochi 3,X360,2011,Action,Ubisoft Annecy,90000,30000,30000,10000,160000
10021,My SAT Coach with The Princeton Review,DS,2008,Misc,Ubisoft,100000,0,0,10000,110000
10022,The Cheetah Girls,GBA,2006,Misc,Disney Interactive Studios,10000,0,0,0,10000
10023,Grey's Anatomy: The Video Game,PC,2009,Adventure,Ubisoft,0,20000,0,0,20000
10024,Boktai: The Sun is in Your Hand,GBA,2003,Role-Playing,Konami Digital Entertainment,100000,40000,0,0,140000
10025,Top Spin 3,DS,2008,Action,D3Publisher,110000,20000,0,10000,140000
10026,The Sims 4: Luxury Party Stuff,PC,2015,Simulation,Electronic Arts,0,10000,0,0,10000
10027,Angel Blade: Neo Tokyo Guardians,PS,1997,Role-Playing,On Demand,120000,80000,0,10000,210000
10028,Resident Evil Director's Cut: Dual Shock Edition,PS,1997,Action,Capcom,0,0,160000,10000,170000
10029,The House of the Dead: Overkill,Wii,2009,Shooter,Sega,460000,310000,20000,90000,880000
10030,Tecmo's Deception,PS,1996,Role-Playing,Sunsoft,40000,30000,0,0,70000
10031,Handball 16,X360,2015,Sports,Bigben Interactive,0,10000,0,0,10000
10032,Strikers 1945,PS,1998,Shooter,Midas Interactive Entertainment,70000,50000,0,10000,130000
10033,Cabela's African Safari,X360,2006,Sports,Activision Value,130000,0,0,10000,140000
10034,ESPN X-Games Pro Boarder,PS,1997,Sports,Sony Computer Entertainment,180000,120000,0,20000,320000
10035,FIFA Soccer 2003,GC,2002,Sports,Electronic Arts,60000,20000,0,0,80000
10036,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,1890000,990000,30000,240000,3150000
10037,Saints Row: Gat out of Hell,PS4,2015,Action,Deep Silver,0,40000,0,10000,50000
10038,Kameo: Elements of Power,X360,2005,Action,Microsoft Game Studios,280000,30000,0,30000,340000
10039,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,600000,3290000,60000,1130000,5080000
10040,Rune: Viking Warlord,PS2,2001,Action,Take-Two Interactive,130000,100000,0,30000,260000
10041,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,2009,Misc,Hudson Soft,0,0,410000,0,410000
10042,Hitman 2: Silent Assassin,GC,2003,Action,Eidos Interactive,100000,30000,0,0,130000
10043,Bomberman World,PS,1998,Puzzle,Sony Computer Entertainment,60000,40000,220000,20000,340000
10044,Kidz Bop Dance Party! The Video Game,Wii,2010,Misc,D3Publisher,210000,0,0,10000,220000
10045,Again,DS,2009,Adventure,Ackkstudios,70000,0,0,0,70000
10046,Famicom Mini: Clu Clu Land,GBA,2004,Puzzle,Nintendo,0,0,40000,0,40000
10047,LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,120000,370000,0,100000,590000
10048,Winning Post 7 2010,PSP,2010,Sports,Tecmo Koei,0,0,50000,0,50000
10049,Dream Girl Premier,3DS,2015,Misc,Alchemist,0,0,30000,0,30000
10050,Freshly-Picked: Tingle's Rosy Rupeeland,DS,2006,Role-Playing,Nintendo,0,10000,240000,0,250000
10051,Jake Hunter: Detective Chronicles,DS,2008,Adventure,Aksys Games,20000,0,0,0,20000
10052,NBA 2K16,X360,2015,Sports,Take-Two Interactive,770000,100000,0,100000,970000
10053,Harry Potter: Quidditch World Cup,GBA,2003,Sports,Electronic Arts,280000,100000,0,10000,390000
10054,Mucha Lucha! Mascaritas of the Lost Code,GBA,2003,Fighting,Ubisoft,50000,20000,0,0,70000
10055,FIFA 14,PSP,2013,Sports,Electronic Arts,0,160000,0,70000,230000
10056,Ridge Racer 7,PS3,2006,Racing,Namco Bandai Games,240000,700000,160000,260000,1360000
10057,X-Men: The Official Game,X360,2006,Action,Activision,160000,10000,0,10000,180000
10058,Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo,260000,140000,120000,40000,560000
10059,Winx Club: Rockstars,DS,2010,Adventure,Namco Bandai Games,0,30000,0,0,30000
10060,NightCaster,XB,2002,Action,Microsoft Game Studios,100000,30000,0,0,130000
10061,Banjo-Tooie,N64,2000,Platform,Nintendo,820000,360000,250000,60000,1490000
10062,Odin Sphere: Leifthrasir,PS3,2016,Role-Playing,Nippon Ichi Software,10000,20000,30000,10000,70000
10063,McDROID,PSP,2011,Strategy,Namco Bandai Games,0,0,50000,0,50000
10064,Tennis,NES,1984,Sports,Nintendo,480000,110000,1560000,20000,2170000
10065,Hakuoki: Reimeiroku - Omouhase Kara,PSV,2015,Action,Idea Factory,0,0,10000,0,10000
10066,7th Dragon 2020-II,PSP,2013,Role-Playing,Sega,0,0,130000,0,130000
10067,Wacky Races: Crash & Dash,Wii,2008,Racing,Eidos Interactive,270000,10000,0,20000,300000
10068,Dinotopia: The Sunstone Odyssey,XB,2003,Action,TDK Mediactive,10000,0,0,0,10000
10069,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,1370000,2000000,140000,220000,3730000
10070,Diablo,PS,1997,Role-Playing,Electronic Arts,290000,190000,70000,40000,590000
10071,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,DS,2011,Action,THQ,70000,30000,0,10000,110000
10072,Earth Defense Force 2: Invaders from Planet Space,PSP,2011,Action,D3Publisher,0,0,140000,0,140000
10073,Virtual Villagers: A New Home,DS,2010,Simulation,PQube,40000,10000,0,0,50000
10074,Smuggler's Run,PS2,2000,Racing,Take-Two Interactive,770000,600000,0,200000,1570000
10075,NASCAR 2011: The Game,Wii,2011,Racing,Activision,220000,0,0,10000,230000
10076,Pop Cutie! Street Fashion Simulation,DS,2008,Simulation,Tecmo Koei,60000,0,0,0,60000
10077,Need for Speed: ProStreet,PS3,2007,Racing,Electronic Arts,730000,920000,40000,370000,2060000
10078,Project Gotham Racing,XB,2001,Racing,Microsoft Game Studios,1370000,610000,50000,90000,2120000
10079,Donkey Kong GB: Dinky Kong & Dixie Kong,GB,2000,Platform,Nintendo,0,0,280000,0,280000
10080,Dead Island: Riptide,PS3,2013,Action,Deep Silver,260000,200000,70000,90000,620000
10081,Sega Arcade Gallery,GBA,2003,Misc,THQ,30000,10000,0,0,40000
10082,Backyard Baseball,PS2,2004,Sports,Atari,240000,190000,0,60000,490000
10083,Bubble Bobble Double Shot,DS,2007,Puzzle,Rising Star Games,30000,0,0,0,30000
10084,Harvest Moon DS Cute (jp sales),DS,2005,Simulation,Marvelous Interactive,0,0,100000,0,100000
10085,Destrega,PS,1998,Fighting,Sony Computer Entertainment,40000,30000,0,0,70000
10086,LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,180000,110000,0,30000,320000
10087,Guitar Freaks V3 & DrumMania V3,PS2,2007,Simulation,Konami Digital Entertainment,0,0,20000,0,20000
10088,Lego Batman 3: Beyond Gotham,3DS,2014,Action,Warner Bros. Interactive Entertainment,210000,210000,0,40000,460000
10089,Derby Tsuku 5: Derby Uma o Tsukurou!,PS2,2006,Sports,Sega,0,0,40000,0,40000
10090,Rugby Challenge 3,PS4,2016,Sports,Alternative Software,0,30000,0,10000,40000
10091,The Game of Life / Yahtzee / Payday,GBA,2005,Misc,Zoo Digital Publishing,130000,50000,0,0,180000
10092,High School Musical 3: Senior Year DANCE!,Wii,2008,Misc,Disney Interactive Studios,680000,490000,0,130000,1300000
10093,Lost Kingdoms II,GC,2003,Role-Playing,Activision,40000,10000,0,0,50000
10094,The Sims 4,PC,2014,Simulation,Electronic Arts,960000,1720000,0,290000,2970000
10095,1001 Touch Games,DS,2011,Action,Avanquest,120000,170000,0,40000,330000
10096,Deep Labyrinth,DS,2006,Action,505 Games,60000,0,0,0,60000
10097,LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Warner Bros. Interactive Entertainment,500000,530000,0,200000,1230000
10098,Littlest Pet Shop: Friends,Wii,2009,Simulation,Electronic Arts,220000,20000,0,20000,260000
10099,Fatal Frame II: Crimson Butterfly,PS2,2003,Action,Ubisoft,80000,60000,0,20000,160000
10100,So-Ra-No-Wo-To: Otome no Gojuusou,PSP,2010,Adventure,Compile Heart,0,0,20000,0,20000
10101,Death Jr. II: Root of Evil,PSP,2006,Platform,Konami Digital Entertainment,50000,0,0,0,50000
10102,Test Drive,PS2,2002,Racing,Atari,950000,210000,10000,180000,1350000
10103,Greg Hastings' Tournament Paintball Max'd,GBA,2006,Shooter,Activision,20000,10000,0,0,30000
10104,Star Wars The Clone Wars: Republic Heroes,PS2,2009,Action,LucasArts,170000,10000,0,80000,260000
10105,A Vampyre Story,PC,2008,Adventure,Crimson Cow,0,10000,0,0,10000
10106,Challenge Me: Brain Puzzles 2,DS,2010,Puzzle,O-Games,50000,40000,0,10000,100000
10107,Bass Pro Shops: The Hunt,X360,2010,Sports,Griffin International,80000,0,0,10000,90000
10108,Roadsters,PS,2000,Racing,Titus,20000,10000,0,0,30000
10109,Conflict: Desert Storm II - Back to Bagdhad,GC,2004,Shooter,SCi,30000,10000,0,0,40000
10110,Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,500000,390000,20000,250000,1160000
10111,Mobile Suit Gundam: MS Sensen 0079,Wii,2007,Simulation,Namco Bandai Games,0,0,110000,0,110000
10112,"Roswell Conspiracies: Aliens, Myths & Legends",PS,2001,Action,Red Storm Entertainment,20000,20000,0,0,40000
10113,Tony Hawk's Proving Ground,DS,2007,Sports,Activision,210000,10000,0,20000,240000
10114,Tak: The Great Juju Challenge,DS,2005,Platform,THQ,90000,0,0,10000,100000
10115,Bejeweled 3,DS,2010,Puzzle,PopCap Games,320000,20000,0,30000,370000
10116,Bad Apple Wars,PSV,2015,Action,Idea Factory,0,0,30000,0,30000
10117,Golden Axe: Beast Rider,PS3,2008,Action,Sega,130000,140000,0,60000,330000
10118,Top Spin 4,PS3,2011,Sports,Take-Two Interactive,170000,400000,0,140000,710000
10119,"Warhammer 40,000: Dawn of War II - Retribution",PC,2011,Strategy,THQ,0,60000,0,20000,80000
10120,Phineas and Ferb: Across the 2nd Dimension,PS3,2011,Action,Disney Interactive Studios,150000,120000,0,50000,320000
10121,Nodame Cantabile,PS2,2007,Misc,Banpresto,0,0,10000,0,10000
10122,Eragon,X360,2006,Action,Vivendi Games,120000,10000,0,10000,140000
10123,Guitar Hero Live,PS4,2015,Misc,Activision,320000,350000,0,130000,800000
10124,Turning Point: Fall of Liberty,PS3,2008,Shooter,Codemasters,210000,10000,0,20000,240000
10125,Crime Killer,PS,1998,Racing,Interplay,70000,40000,0,10000,120000
10126,Higurashi no Nakukoru ni Kizuna: Dai-Ichi-Kan - Tatari,DS,2008,Adventure,Alchemist,0,0,70000,0,70000
10127,Tenshou Gakuen Gekkouroku,PS2,2006,Adventure,Asmik Ace Entertainment,0,0,40000,0,40000
10128,Operation Flashpoint: Red River,PS3,2011,Shooter,Codemasters,60000,150000,70000,50000,330000
10129,NPPL: Championship Paintball 2009,X360,2008,Shooter,Activision Value,100000,10000,0,10000,120000
10130,Shinseiki Evangelion: Koutetsu no Girlfriend,SAT,1998,Adventure,Sega,0,0,110000,0,110000
10131,Middle-Earth: Shadow of Mordor,PS3,2014,Action,Warner Bros. Interactive Entertainment,200000,330000,10000,100000,640000
10132,T'ai Fu: Wrath of the Tiger,PS,1998,Action,Activision,80000,60000,0,10000,150000
10133,Teenage Mutant Ninja Turtles: Mutants in Manhattan,X360,2016,Action,Activision,10000,20000,0,0,30000
10134,Ridge Racer,PS,1994,Racing,Sony Computer Entertainment,0,0,740000,50000,790000
10135,Rapala: We Fish,Wii,2009,Sports,Activision,520000,20000,0,40000,580000
10136,Hot Shots Golf,PS,1997,Sports,Sony Computer Entertainment,290000,200000,2130000,180000,2800000
10137,Chousoku Henkei Gyrozetter: Albatross no Tsubasa,3DS,2013,Role-Playing,Square Enix,0,0,50000,0,50000
10138,Bionicle Heroes,Wii,2007,Shooter,Eidos Interactive,40000,0,0,0,40000
10139,Kelly Slater's Pro Surfer,GC,2002,Sports,Activision,50000,10000,0,0,60000
10140,The Haunted: Hell's Reach,PC,2011,Shooter,Visco,20000,0,0,0,20000
10141,Transformers: Dark of the Moon - Autobots/Decepticons,DS,2011,Action,Activision,340000,90000,0,40000,470000
10142,Mace: The Dark Age,N64,1997,Fighting,GT Interactive,150000,40000,0,0,190000
10143,WWE Crush Hour,GC,2003,Racing,THQ,60000,20000,0,0,80000
10144,The Beatles: Rock Band,X360,2009,Misc,MTV Games,970000,230000,0,110000,1310000
10145,Ford Racing Off Road,Wii,2008,Racing,Xplosiv,60000,400000,0,10000,470000
10146,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4980000,1300000,80000,70000,6430000
10147,Madden NFL 07,PSP,2006,Sports,EA Sports,770000,30000,0,40000,840000
10148,Jampack Volume 11,PS2,2004,Misc,Sony Computer Entertainment,260000,200000,0,70000,530000
10149,Pinball Hall of Fame: The Gottlieb Collection,PS2,2004,Misc,Play It,160000,120000,0,40000,320000
10150,Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,PS,1998,Misc,Syscom,0,0,150000,10000,160000
10151,Winning Post 8 2016,PS4,2016,Simulation,Tecmo Koei,0,0,20000,0,20000
10152,Keystone Kapers,2600,1982,Action,Activision,620000,40000,0,10000,670000
10153,Vanquish,PS3,2010,Shooter,Sega,210000,220000,110000,90000,630000
10154,Dungeon Raiders,DS,2009,Role-Playing,Focus Home Interactive,50000,0,0,0,50000
10155,Tom Clancy's Rainbow Six: Vegas,PSP,2007,Shooter,Ubisoft,420000,190000,0,140000,750000
10156,Child of Eden,PS3,2011,Shooter,Ubisoft,90000,100000,0,40000,230000
10157,Angelique: Maren no Rokukishi,PSP,2011,Adventure,Idea Factory,0,0,30000,0,30000
10158,Brunswick Circuit Pro Bowling,N64,1999,Sports,THQ,50000,10000,0,0,60000
10159,FIFA 12,PC,2011,Sports,Electronic Arts,40000,330000,0,100000,470000
10160,WCW/nWo Revenge,N64,1998,Fighting,THQ,1940000,390000,30000,20000,2380000
10161,Star Wars Trilogy: Apprentice of the Force,GBA,2004,Action,Ubisoft,300000,110000,0,10000,420000
10162,Power Stone,DC,1998,Fighting,Eidos Interactive,0,0,140000,0,140000
10163,Dragon Ball: Advanced Adventure,GBA,2004,Action,Namco Bandai Games,30000,10000,0,0,40000
10164,Sonic Advance,GBA,2001,Platform,Sega,1190000,710000,220000,130000,2250000
10165,NHL 2K6,PS2,2005,Sports,Take-Two Interactive,210000,160000,0,50000,420000
10166,LEGO Harry Potter: Years 5-7,PC,2011,Adventure,Warner Bros. Interactive Entertainment,50000,140000,0,30000,220000
10167,The Club,X360,2008,Shooter,Sega,150000,100000,0,20000,270000
10168,Top Gun,PS3,2011,Simulation,505 Games,60000,0,0,10000,70000
10169,Stronghold Crusader Extreme,PC,2008,Strategy,Gamecock,0,20000,0,0,20000
10170,Ship Simulator Extremes,PC,2010,Simulation,Paradox Interactive,0,40000,0,10000,50000
10171,Tony Hawk's Downhill Jam,Wii,2006,Sports,Activision,210000,0,0,20000,230000
10172,Konami Collector's Series: Arcade Advanced,GBA,2002,Misc,Konami Digital Entertainment,460000,170000,0,10000,640000
10173,Puppeteer,PS3,2013,Platform,Sony Computer Entertainment Europe,110000,100000,20000,40000,270000
10174,Star Wars: Knights of the Old Republic,PC,2003,Role-Playing,LucasArts,10000,100000,0,20000,130000
10175,Midnight Club 3: DUB Edition Remix,XB,2006,Racing,Take-Two Interactive,150000,40000,0,10000,200000
10176,Pro Yakyuu Team o Tsukurou!,DS,2008,Sports,Sega,0,0,190000,0,190000
10177,A.C.E.: Another Century's Episode,PS2,2005,Simulation,Banpresto,0,0,260000,0,260000
10178,Happy Feet,Wii,2006,Action,Midway Games,120000,0,0,10000,130000
10179,Unchained Blades,3DS,2011,Role-Playing,FuRyu,0,0,40000,0,40000
10180,Harukanaru Toki no Naka de 6,PSV,2015,Action,Tecmo Koei,0,0,30000,0,30000
10181,Tsukigime Ranko's Longest Day,PS3,2014,Action,Namco Bandai Games,0,10000,0,0,10000
10182,Test Drive 6,PS,1999,Racing,Atari,400000,270000,0,50000,720000
10183,Taz Wanted,GC,2002,Platform,Atari,60000,20000,0,0,80000
10184,Conception: Please Give Birth to My Child!,PSP,2012,Role-Playing,Spike,0,0,80000,0,80000
10185,Rapala Pro Fishing,XB,2004,Sports,Zoo Digital Publishing,120000,30000,0,10000,160000
10186,NBA 2K6,XB,2005,Action,Take-Two Interactive,270000,80000,0,10000,360000
10187,Counter Force,Wii,2007,Shooter,505 Games,40000,0,0,0,40000
10188,Super Robot Taisen: Original Generation,GBA,2002,Role-Playing,Banpresto,10000,0,0,0,10000
10189,Shaman King: Chou Senjiryokketsu 3,GBA,2002,Role-Playing,King Records,0,0,20000,0,20000
10190,LEGO Harry Potter: Years 5-7,PSP,2011,Adventure,Warner Bros. Interactive Entertainment,100000,110000,0,60000,270000
10191,Peter Pan in Disney's Return to Never Land,PS,2002,Platform,Sony Computer Entertainment,10000,10000,0,0,20000
10192,Cyber Troopers Virtual-On Marz,PS2,2003,Fighting,Sega,20000,10000,0,0,30000
10193,Coven and Labyrinth of Refrain,PSV,2016,Action,Nippon Ichi Software,0,0,10000,0,10000
10194,Odama,GC,2006,Misc,Nintendo,70000,20000,20000,0,110000
10195,Shitsuji ga Aruji o Erabu Toki,PSV,2016,Adventure,Unknown,0,0,10000,0,10000
10196,Tetris Axis,3DS,2011,Puzzle,Tetris Online,200000,130000,60000,30000,420000
10197,Eternal Ring,PS2,2000,Role-Playing,Ubisoft,100000,70000,100000,30000,300000
10198,Quest 64,N64,1998,Role-Playing,Konami Digital Entertainment,380000,80000,0,10000,470000
10199,Broken Sword: The Shadow of the Templars,GBA,2002,Adventure,BAM! Entertainment,40000,20000,0,0,60000
10200,Sniper Elite 3,PS4,2014,Shooter,505 Games,220000,330000,0,130000,680000
10201,NCAA March Madness 07,PS2,2007,Sports,Electronic Arts,280000,220000,0,70000,570000
10202,Bakugan: Battle Brawlers,DS,2009,Action,Activision,1270000,20000,0,90000,1380000
10203,Puyo Puyo Tetris,3DS,2014,Puzzle,Sega,0,0,110000,0,110000
10204,Syndicate,PS3,2012,Shooter,EA Games,70000,60000,0,20000,150000
10205,Senran Kagura: Sh?jo-tachi no Shinei,3DS,2011,Action,Marvelous Interactive,0,0,160000,0,160000
10206,Nounai Aeshe: IQ Suppli DS,DS,2006,Misc,Spike,0,0,300000,0,300000
10207,Urakata Hakuoki,PSP,2013,Adventure,Idea Factory,0,0,20000,0,20000
